split,class,source,processed
train,cardboard,data/raw/dataset-resized/cardboard/cardboard235.jpg,data/processed/train/cardboard/cardboard_0001.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard213.jpg,data/processed/train/cardboard/cardboard_0002.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard169.jpg,data/processed/train/cardboard/cardboard_0003.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard138.jpg,data/processed/train/cardboard/cardboard_0004.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard334.jpg,data/processed/train/cardboard/cardboard_0005.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard160.jpg,data/processed/train/cardboard/cardboard_0006.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard71.jpg,data/processed/train/cardboard/cardboard_0007.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard352.jpg,data/processed/train/cardboard/cardboard_0008.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard26.jpg,data/processed/train/cardboard/cardboard_0009.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard307.jpg,data/processed/train/cardboard/cardboard_0010.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard100.jpg,data/processed/train/cardboard/cardboard_0011.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard29.jpg,data/processed/train/cardboard/cardboard_0012.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard209.jpg,data/processed/train/cardboard/cardboard_0013.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard21.jpg,data/processed/train/cardboard/cardboard_0014.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard187.jpg,data/processed/train/cardboard/cardboard_0015.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard25.jpg,data/processed/train/cardboard/cardboard_0016.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard272.jpg,data/processed/train/cardboard/cardboard_0017.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard325.jpg,data/processed/train/cardboard/cardboard_0018.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard67.jpg,data/processed/train/cardboard/cardboard_0019.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard8.jpg,data/processed/train/cardboard/cardboard_0020.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard46.jpg,data/processed/train/cardboard/cardboard_0021.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard198.jpg,data/processed/train/cardboard/cardboard_0022.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard65.jpg,data/processed/train/cardboard/cardboard_0023.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard133.jpg,data/processed/train/cardboard/cardboard_0024.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard321.jpg,data/processed/train/cardboard/cardboard_0025.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard400.jpg,data/processed/train/cardboard/cardboard_0026.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard107.jpg,data/processed/train/cardboard/cardboard_0027.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard87.jpg,data/processed/train/cardboard/cardboard_0028.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard73.jpg,data/processed/train/cardboard/cardboard_0029.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard122.jpg,data/processed/train/cardboard/cardboard_0030.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard301.jpg,data/processed/train/cardboard/cardboard_0031.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard159.jpg,data/processed/train/cardboard/cardboard_0032.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard251.jpg,data/processed/train/cardboard/cardboard_0033.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard313.jpg,data/processed/train/cardboard/cardboard_0034.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard319.jpg,data/processed/train/cardboard/cardboard_0035.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard229.jpg,data/processed/train/cardboard/cardboard_0036.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard51.jpg,data/processed/train/cardboard/cardboard_0037.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard149.jpg,data/processed/train/cardboard/cardboard_0038.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard28.jpg,data/processed/train/cardboard/cardboard_0039.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard7.jpg,data/processed/train/cardboard/cardboard_0040.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard184.jpg,data/processed/train/cardboard/cardboard_0041.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard13.jpg,data/processed/train/cardboard/cardboard_0042.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard195.jpg,data/processed/train/cardboard/cardboard_0043.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard361.jpg,data/processed/train/cardboard/cardboard_0044.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard91.jpg,data/processed/train/cardboard/cardboard_0045.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard320.jpg,data/processed/train/cardboard/cardboard_0046.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard354.jpg,data/processed/train/cardboard/cardboard_0047.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard248.jpg,data/processed/train/cardboard/cardboard_0048.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard309.jpg,data/processed/train/cardboard/cardboard_0049.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard40.jpg,data/processed/train/cardboard/cardboard_0050.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard152.jpg,data/processed/train/cardboard/cardboard_0051.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard125.jpg,data/processed/train/cardboard/cardboard_0052.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard403.jpg,data/processed/train/cardboard/cardboard_0053.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard318.jpg,data/processed/train/cardboard/cardboard_0054.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard348.jpg,data/processed/train/cardboard/cardboard_0055.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard164.jpg,data/processed/train/cardboard/cardboard_0056.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard341.jpg,data/processed/train/cardboard/cardboard_0057.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard387.jpg,data/processed/train/cardboard/cardboard_0058.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard386.jpg,data/processed/train/cardboard/cardboard_0059.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard303.jpg,data/processed/train/cardboard/cardboard_0060.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard14.jpg,data/processed/train/cardboard/cardboard_0061.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard296.jpg,data/processed/train/cardboard/cardboard_0062.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard327.jpg,data/processed/train/cardboard/cardboard_0063.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard233.jpg,data/processed/train/cardboard/cardboard_0064.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard176.jpg,data/processed/train/cardboard/cardboard_0065.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard147.jpg,data/processed/train/cardboard/cardboard_0066.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard167.jpg,data/processed/train/cardboard/cardboard_0067.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard55.jpg,data/processed/train/cardboard/cardboard_0068.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard127.jpg,data/processed/train/cardboard/cardboard_0069.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard30.jpg,data/processed/train/cardboard/cardboard_0070.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard81.jpg,data/processed/train/cardboard/cardboard_0071.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard240.jpg,data/processed/train/cardboard/cardboard_0072.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard364.jpg,data/processed/train/cardboard/cardboard_0073.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard36.jpg,data/processed/train/cardboard/cardboard_0074.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard401.jpg,data/processed/train/cardboard/cardboard_0075.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard108.jpg,data/processed/train/cardboard/cardboard_0076.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard158.jpg,data/processed/train/cardboard/cardboard_0077.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard207.jpg,data/processed/train/cardboard/cardboard_0078.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard328.jpg,data/processed/train/cardboard/cardboard_0079.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard286.jpg,data/processed/train/cardboard/cardboard_0080.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard157.jpg,data/processed/train/cardboard/cardboard_0081.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard324.jpg,data/processed/train/cardboard/cardboard_0082.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard179.jpg,data/processed/train/cardboard/cardboard_0083.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard104.jpg,data/processed/train/cardboard/cardboard_0084.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard228.jpg,data/processed/train/cardboard/cardboard_0085.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard4.jpg,data/processed/train/cardboard/cardboard_0086.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard189.jpg,data/processed/train/cardboard/cardboard_0087.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard41.jpg,data/processed/train/cardboard/cardboard_0088.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard166.jpg,data/processed/train/cardboard/cardboard_0089.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard271.jpg,data/processed/train/cardboard/cardboard_0090.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard323.jpg,data/processed/train/cardboard/cardboard_0091.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard132.jpg,data/processed/train/cardboard/cardboard_0092.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard315.jpg,data/processed/train/cardboard/cardboard_0093.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard216.jpg,data/processed/train/cardboard/cardboard_0094.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard391.jpg,data/processed/train/cardboard/cardboard_0095.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard330.jpg,data/processed/train/cardboard/cardboard_0096.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard252.jpg,data/processed/train/cardboard/cardboard_0097.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard219.jpg,data/processed/train/cardboard/cardboard_0098.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard183.jpg,data/processed/train/cardboard/cardboard_0099.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard18.jpg,data/processed/train/cardboard/cardboard_0100.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard247.jpg,data/processed/train/cardboard/cardboard_0101.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard388.jpg,data/processed/train/cardboard/cardboard_0102.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard255.jpg,data/processed/train/cardboard/cardboard_0103.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard24.jpg,data/processed/train/cardboard/cardboard_0104.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard19.jpg,data/processed/train/cardboard/cardboard_0105.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard245.jpg,data/processed/train/cardboard/cardboard_0106.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard288.jpg,data/processed/train/cardboard/cardboard_0107.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard312.jpg,data/processed/train/cardboard/cardboard_0108.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard224.jpg,data/processed/train/cardboard/cardboard_0109.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard376.jpg,data/processed/train/cardboard/cardboard_0110.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard105.jpg,data/processed/train/cardboard/cardboard_0111.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard278.jpg,data/processed/train/cardboard/cardboard_0112.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard236.jpg,data/processed/train/cardboard/cardboard_0113.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard396.jpg,data/processed/train/cardboard/cardboard_0114.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard306.jpg,data/processed/train/cardboard/cardboard_0115.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard241.jpg,data/processed/train/cardboard/cardboard_0116.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard59.jpg,data/processed/train/cardboard/cardboard_0117.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard299.jpg,data/processed/train/cardboard/cardboard_0118.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard269.jpg,data/processed/train/cardboard/cardboard_0119.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard304.jpg,data/processed/train/cardboard/cardboard_0120.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard186.jpg,data/processed/train/cardboard/cardboard_0121.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard270.jpg,data/processed/train/cardboard/cardboard_0122.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard109.jpg,data/processed/train/cardboard/cardboard_0123.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard259.jpg,data/processed/train/cardboard/cardboard_0124.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard39.jpg,data/processed/train/cardboard/cardboard_0125.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard161.jpg,data/processed/train/cardboard/cardboard_0126.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard383.jpg,data/processed/train/cardboard/cardboard_0127.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard97.jpg,data/processed/train/cardboard/cardboard_0128.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard257.jpg,data/processed/train/cardboard/cardboard_0129.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard200.jpg,data/processed/train/cardboard/cardboard_0130.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard116.jpg,data/processed/train/cardboard/cardboard_0131.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard390.jpg,data/processed/train/cardboard/cardboard_0132.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard205.jpg,data/processed/train/cardboard/cardboard_0133.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard280.jpg,data/processed/train/cardboard/cardboard_0134.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard351.jpg,data/processed/train/cardboard/cardboard_0135.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard260.jpg,data/processed/train/cardboard/cardboard_0136.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard402.jpg,data/processed/train/cardboard/cardboard_0137.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard93.jpg,data/processed/train/cardboard/cardboard_0138.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard372.jpg,data/processed/train/cardboard/cardboard_0139.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard373.jpg,data/processed/train/cardboard/cardboard_0140.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard56.jpg,data/processed/train/cardboard/cardboard_0141.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard298.jpg,data/processed/train/cardboard/cardboard_0142.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard123.jpg,data/processed/train/cardboard/cardboard_0143.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard265.jpg,data/processed/train/cardboard/cardboard_0144.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard192.jpg,data/processed/train/cardboard/cardboard_0145.jpg
train,cardboard,data/raw/dataset-resized/cardboard/cardboard338.jpg,data/processed/train/cardboard/cardboard_0146.jpg
